Tide2,Tide ,Date,TimeDay,Test,Fish.No,Flip_time_rel_min,Flip_temp_degC,Length_mm,Mass_g,Start_temp,Tide feet,Trip
High-high,Incoming,2021-07-05,15:30:00,CTmin,1,71.18,8,30,0.252,29.2,3.5,1
High-high,Incoming,2021-07-05,15:30:00,CTmin,2,72,7.8,22,0.131,29.2,3.5,1
High-high,Incoming,2021-07-05,15:30:00,CTmin,3,73.25,7.8,20,0.076,29.2,3.5,1
High-high,Incoming,2021-07-05,15:30:00,CTmin,5,74.02,7.8,24,0.139,29.2,3.5,1
High-high,Incoming,2021-07-05,15:30:00,CTmin,6,74.3,7.9,24,0.128,29.2,3.5,1
High-high,Incoming,2021-07-05,15:30:00,CTmin,7,75.08,7.9,24,0.137,29.2,3.5,1
High-high,Incoming,2021-07-05,15:30:00,CTmin,9,76.48,7.8,24,0.133,29.2,3.5,1
High-high,Incoming,2021-07-05,15:30:00,CTmin,10,77.09,7.8,20,0.068,29.2,3.5,1
High-high,Incoming,2021-07-05,15:30:00,CTmin,11,77.28,7.7,24,0.15,29.2,3.5,1
High-high,Incoming,2021-07-05,15:30:00,CTmin,12,78.04,7.7,25,0.143,29.2,3.5,1
High-high,Incoming,2021-07-05,15:30:00,CTmin,13,78.1,7.7,25,0.159,29.2,3.5,1
High-high,Incoming,2021-07-05,15:30:00,CTmin,14,78.21,7.6,25,0.159,29.2,3.5,1
High-high,Incoming,2021-07-05,15:30:00,CTmin,19,79.35,7.3,28,0.249,29.2,3.5,1
High-high,Incoming,2021-07-05,15:30:00,CTmin,20,79.35,7.3,26,0.188,29.2,3.5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,1,59.16,39.4,28,0.185,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,2,60,39.4,24,0.169,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,3,60.1,39.6,32,0.391,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,4,60.18,39.5,24,0.136,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,5,60.49,39.5,28,0.236,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,6,60.58,39.5,26,0.211,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,7,60.58,39.7,30,0.232,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,8,61.3,39.7,26,0.218,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,9,61.3,39.8,24,0.149,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,10,61.3,39.8,28,0.226,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,11,61.3,39.8,26,0.182,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,12,61.3,39.8,31,0.298,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,13,61.3,39.8,25,0.166,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,14,61.3,39.8,23,0.115,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,15,61.3,39.8,32,0.29,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,16,61.3,39.8,25,0.19,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,17,61.3,39.8,26,0.196,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,18,61.3,39.8,24,0.143,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,19,61.3,39.8,20,0.1,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,20,61.3,39.8,25,0.178,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,21,61.3,39.8,24,0.14,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,22,61.3,39.8,21,0.096,22.4,5,1
High-high,Incoming,2021-07-05,18:00:00,CTmax,23,61.3,39.8,23,0.163,22.4,5,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,1,49,16.5,20,0.053,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,2,72,10.4,16,0.035,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,3,75.18,9.5,19,0.065,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,4,77.19,9,18,0.06,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,5,77.58,8.8,18,0.048,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,6,80.22,8.2,18,0.055,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,7,82.42,7.8,17,0.044,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,8,83.02,7.8,23,0.112,32.2,2.8,1
Medium,Outgoing,2021-07-09,13:30:00,CTmin,9,83.31,7.8,27,0.17,32.2,2.8,1
