Date,TimeDay,TL_mm,mass_mg,Order_fish_flip,tank,temp_tolerance,Test,Tide,Tide2,Phys.cond,treatment,temp_treatment
11/12/22,8:00 AM,37,213,1,2,33.83,CTmax,Incoming,Low,NOTFED,V1,V1
11/12/22,8:00 AM,37,410,2,16,37.16,CTmax,Incoming,Low,NOTFED,HOT,27
11/12/22,8:00 AM,41,325,3,2,38.39,CTmax,Incoming,Low,NOTFED,V1,V1
11/12/22,8:00 AM,39,282,4,2,38.24,CTmax,Incoming,Low,NOTFED,V1,V1
11/12/22,8:00 AM,43,475,5,2,38.32,CTmax,Incoming,Low,NOTFED,V1,V1
11/12/22,8:00 AM,38,250,6,4,38.5,CTmax,Incoming,Low,NOTFED,V1,V1
11/12/22,8:00 AM,43,533,7,2,38.53,CTmax,Incoming,Low,NOTFED,V1,V1
11/12/22,8:00 AM,35,147,8,4,38.59,CTmax,Incoming,Low,NOTFED,V1,V1
11/12/22,8:00 AM,35,227,9,4,38.57,CTmax,Incoming,Low,NOTFED,V1,V1
11/12/22,8:00 AM,30,151,10,4,38.39,CTmax,Incoming,Low,NOTFED,V1,V1
11/12/22,8:00 AM,40,288,11,4,38.65,CTmax,Incoming,Low,NOTFED,V1,V1
11/12/22,8:00 AM,30,142,12,16,38.33,CTmax,Incoming,Low,NOTFED,HOT,27
11/12/22,8:00 AM,37,212,13,16,38.4,CTmax,Incoming,Low,NOTFED,HOT,27
11/12/22,8:00 AM,36,233,14,16,38.6,CTmax,Incoming,Low,NOTFED,HOT,27
11/12/22,8:00 AM,40,307,15,10,38.72,CTmax,Incoming,Low,NOTFED,HOT,27
11/12/22,8:00 AM,42,397,16,16,39.24,CTmax,Incoming,Low,NOTFED,HOT,27
11/12/22,8:00 AM,31,175,17,1,39.52,CTmax,Incoming,Low,NOTFED,HOT,27
11/12/22,8:00 AM,39,290,18,1,39.52,CTmax,Incoming,Low,NOTFED,HOT,27
11/12/22,8:00 AM,32,149,19,1,39.52,CTmax,Incoming,Low,NOTFED,HOT,27
11/12/22,8:00 AM,40,369,20,1,39.53,CTmax,Incoming,Low,NOTFED,HOT,27
11/12/22,8:00 AM,35,202,21,1,39.53,CTmax,Incoming,Low,NOTFED,HOT,27
11/12/22,8:00 AM,35,250,22,10,39.53,CTmax,Incoming,Low,NOTFED,HOT,27
11/12/22,5:30 PM,41,314,1,4,9.8,CTmin,Outgoing,High,NOTFED,V1,V1
11/12/22,5:30 PM,37,278,2,1,7.25,CTmin,Outgoing,High,NOTFED,HOT,27
11/12/22,5:30 PM,37,284,3,1,7.19,CTmin,Outgoing,High,NOTFED,HOT,27
11/12/22,5:30 PM,36,253,4,1,6.99,CTmin,Outgoing,High,NOTFED,HOT,27
11/12/22,5:30 PM,38,290,5,16,6.77,CTmin,Outgoing,High,NOTFED,HOT,27
11/12/22,5:30 PM,33,191,6,16,6.72,CTmin,Outgoing,High,NOTFED,HOT,27
11/12/22,5:30 PM,40,356,7,1,6.64,CTmin,Outgoing,High,NOTFED,HOT,27
11/12/22,5:30 PM,36,235,8,16,6.61,CTmin,Outgoing,High,NOTFED,HOT,27
11/12/22,5:30 PM,35,197,9,16,6.52,CTmin,Outgoing,High,NOTFED,HOT,27
11/12/22,5:30 PM,38,329,10,2,6.23,CTmin,Outgoing,High,NOTFED,V1,V1
11/12/22,5:30 PM,32,175,11,1,6.22,CTmin,Outgoing,High,NOTFED,HOT,27
11/12/22,5:30 PM,27,99,12,10,6.1,CTmin,Outgoing,High,NOTFED,HOT,27
11/12/22,5:30 PM,36,249,13,2,6.07,CTmin,Outgoing,High,NOTFED,V1,V1
11/12/22,5:30 PM,34,166,14,16,5.99,CTmin,Outgoing,High,NOTFED,HOT,27
11/12/22,5:30 PM,23,193,15,2,5.81,CTmin,Outgoing,High,NOTFED,V1,V1
11/12/22,5:30 PM,27,107,16,10,5.77,CTmin,Outgoing,High,NOTFED,HOT,27
11/12/22,5:30 PM,38,235,17,4,5.75,CTmin,Outgoing,High,NOTFED,V1,V1
11/12/22,5:30 PM,35,202,18,4,5.55,CTmin,Outgoing,High,NOTFED,V1,V1
11/12/22,5:30 PM,39,243,19,2,5.41,CTmin,Outgoing,High,NOTFED,V1,V1
11/12/22,5:30 PM,40,286,20,4,5.27,CTmin,Outgoing,High,NOTFED,V1,V1
11/12/22,5:30 PM,42,429,21,4,5.21,CTmin,Outgoing,High,NOTFED,V1,V1
11/12/22,5:30 PM,39,264,22,2,5.11,CTmin,Outgoing,High,NOTFED,V1,V1
11/13/22,7:30 AM,42,306,1,12,31.14,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,7:30 AM,39,223,2,17,34.36,CTmax,Incoming,Low,NOTFED,MED,22
11/13/22,7:30 AM,33,161,3,5,35.81,CTmax,Incoming,Low,NOTFED,MED,22
11/13/22,7:30 AM,35,203,4,17,35.96,CTmax,Incoming,Low,NOTFED,MED,22
11/13/22,7:30 AM,36,214,5,9,36.52,CTmax,Incoming,Low,NOTFED,MED,22
11/13/22,7:30 AM,37,216,6,12,36.78,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,7:30 AM,32,141,7,15,39.85,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,7:30 AM,39,302,8,9,36.97,CTmax,Incoming,Low,NOTFED,MED,22
11/13/22,7:30 AM,38,281,9,17,37.1,CTmax,Incoming,Low,NOTFED,MED,22
11/13/22,7:30 AM,34,236,10,15,37.38,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,7:30 AM,35,228,11,17,37.58,CTmax,Incoming,Low,NOTFED,MED,22
11/13/22,7:30 AM,39,283,12,5,37.65,CTmax,Incoming,Low,NOTFED,MED,22
11/13/22,7:30 AM,38,301,13,15,37.72,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,7:30 AM,35,168,14,17,37.84,CTmax,Incoming,Low,NOTFED,MED,22
11/13/22,7:30 AM,37,290,15,9,37.91,CTmax,Incoming,Low,NOTFED,MED,22
11/13/22,7:30 AM,32,148,16,9,37.93,CTmax,Incoming,Low,NOTFED,MED,22
11/13/22,7:30 AM,39,278,17,7,38.05,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,7:30 AM,42,411,18,7,38.06,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,7:30 AM,32,173,19,12,38.2,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,7:30 AM,41,340,20,7,38.26,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,7:30 AM,38,247,21,9,38.27,CTmax,Incoming,Low,NOTFED,MED,22
11/13/22,7:30 AM,32,142,22,12,38.32,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,7:30 AM,42,386,23,7,38.43,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,7:30 AM,32,233,24,15,38.44,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,7:30 AM,35,202,25,12,38.5,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,7:30 AM,32,174,26,12,38.54,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,7:30 AM,32,170,27,5,38.59,CTmax,Incoming,Low,NOTFED,MED,22
11/13/22,7:30 AM,36,217,28,7,38.64,CTmax,Incoming,Low,NOTFED,V2,V2
11/13/22,10:15 AM,41,315,1,3,32.15,CTmax,Incoming,High,NOTFED,COLD,12
11/13/22,10:15 AM,33,166,2,13,32.17,CTmax,Incoming,High,NOTFED,COLD,12
11/13/22,10:15 AM,35,225,3,3,32.89,CTmax,Incoming,High,NOTFED,COLD,12
11/13/22,10:15 AM,31,171,4,3,33.08,CTmax,Incoming,High,NOTFED,COLD,12
11/13/22,10:15 AM,36,199,5,8,33.42,CTmax,Incoming,High,NOTFED,COLD,12
11/13/22,10:15 AM,39,327,6,3,34.16,CTmax,Incoming,High,NOTFED,COLD,12
11/13/22,10:15 AM,39,344,7,13,34.14,CTmax,Incoming,High,NOTFED,COLD,12
11/13/22,10:15 AM,36,251,8,8,34.32,CTmax,Incoming,High,NOTFED,COLD,12
11/13/22,10:15 AM,35,193,9,3,34.58,CTmax,Incoming,High,NOTFED,COLD,12
11/13/22,10:15 AM,33,206,10,13,34.58,CTmax,Incoming,High,NOTFED,COLD,12
11/13/22,10:15 AM,37,212,11,8,34.71,CTmax,Incoming,High,NOTFED,COLD,12
11/13/22,10:15 AM,27,122,12,3,34.83,CTmax,Incoming,High,NOTFED,COLD,12
11/13/22,10:15 AM,34,200,13,13,34.78,CTmax,Incoming,High,NOTFED,COLD,12
11/13/22,10:15 AM,26,61,14,8,34.98,CTmax,Incoming,High,NOTFED,COLD,12
11/13/22,10:15 AM,28,156,15,8,35.22,CTmax,Incoming,High,NOTFED,COLD,12
11/14/22,7:45 AM,37,217,1,11,33.61,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,7:45 AM,35,201,2,11,34.22,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,7:45 AM,40,311,3,18,34.52,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,7:45 AM,33,172,4,11,34.58,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,7:45 AM,,,5,6,34.64,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,7:45 AM,33,135,6,6,34.75,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,7:45 AM,39,277,7,18,34.84,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,7:45 AM,33,159,8,18,35.3,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,7:45 AM,30,145,9,18,35.41,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,7:45 AM,34,160,10,11,35.52,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,7:45 AM,40,270,11,11,35.62,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,7:45 AM,43,395,12,18,35.72,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,7:45 AM,42,424,13,6,35.87,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,7:45 AM,39,310,14,6,35.87,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,7:45 AM,32,155,15,6,36.01,CTmax,Incoming,Low,NOTFED,LOW,17
11/14/22,5:00 PM,31,157,1,18,3.23,CTmin,Outgoing,High,NOTFED,LOW,17
11/14/22,5:00 PM,39,325,2,11,3.13,CTmin,Outgoing,High,NOTFED,LOW,17
11/14/22,5:00 PM,38,276,3,11,3.07,CTmin,Outgoing,High,NOTFED,LOW,17
11/14/22,5:00 PM,42,340,4,6,3.11,CTmin,Outgoing,High,NOTFED,LOW,17
11/14/22,5:00 PM,38,276,5,11,2.91,CTmin,Outgoing,High,NOTFED,LOW,17
11/14/22,5:00 PM,41,387,6,18,2.84,CTmin,Outgoing,High,NOTFED,LOW,17
11/14/22,5:00 PM,36,270,7,6,2.82,CTmin,Outgoing,High,NOTFED,LOW,17
11/14/22,5:00 PM,37,323,8,18,2.91,CTmin,Outgoing,High,NOTFED,LOW,17
11/14/22,5:00 PM,40,311,9,18,2.81,CTmin,Outgoing,High,NOTFED,LOW,17
11/14/22,5:00 PM,38,282,10,18,2.84,CTmin,Outgoing,High,NOTFED,LOW,17
